Question number/numéro de la question,AnswerType,IsReversed,English,Français,IndicatorENG,IndicatorFRA,IndicatorID,SubIndicatorENG,SubIndicatorFRA,
Q01,1,0,I have the materials and equipment I need to do my job.,Je dispose du matériel et de l’équipement dont j’ai besoin pour faire mon travail.,WORKPLACE,MILIEU DE TRAVAIL,4,Physical environment and equipment,Environnement physique et équipement,13
Q02,1,0,"When I prepare written materials, including emails, I feel free to use the official language of my choice.","Lorsque je rédige des documents, y compris des courriels, je me sens libre de le faire dans la langue officielle de mon choix.",WORKPLACE,MILIEU DE TRAVAIL,4,Use of official languages,Utilisation des langues officielles,14
Q02,1,0,"When I prepare written materials, including email, I feel free to use the official language of my choice.","Lorsque je rédige des documents, y compris des courriels, je me sens libre de le faire dans la langue officielle de mon choix.",WORKPLACE,MILIEU DE TRAVAIL,4,Use of official languages,Utilisation des langues officielles,14
Q03,1,0,"My physical environment (e.g., office, workspace) is suitable for my job requirements.","Mon environnement physique (p. ex., bureau, espace de travail) est adapté aux exigences de mon travail.",WORKPLACE,MILIEU DE TRAVAIL,4,Physical environment and equipment,Environnement physique et équipement,13
Q04,1,0,I get the training I need to do my job.,Je reçois la formation dont j'ai besoin pour faire mon travail.,WORKFORCE,EFFECTIF,3,Job fit and development,Compatibilité entre la personne et l'emploi et perfectionnement,5
Q05,1,0,"I have the information, training and equipment I need to ensure my health and safety at work.","J’ai l’information, la formation et l’équipement dont j’ai besoin pour assurer ma santé et ma sécurité au travail.",WORKPLACE,MILIEU DE TRAVAIL,4,Physical environment and equipment,Environnement physique et équipement,13
Q06,1,0,I have support at work to balance my work and personal life.,Je reçois du soutien au travail pour concilier mon travail et ma vie personnelle.,WORKFORCE,EFFECTIF,3,Work-life balance and workload,Équilibre travail-vie privée et charge de travail,7
Q07,1,0,I get a sense of satisfaction from my work.,Je tire de la satisfaction de mon travail.,EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q08,1,0,I receive meaningful recognition for work well done.,Je reçois une reconnaissance significative lorsque je fais un bon travail.,WORKFORCE,EFFECTIF,3,Performance management,Gestion du rendement,4
Q09,1,0,I have clear work objectives.,J'ai des objectifs de travail clairs.,WORKFORCE,EFFECTIF,3,Performance management,Gestion du rendement,4
Q10,1,0,I know how my work contributes to the achievement of my department's or agency's goals.,Je sais de quelle façon mon travail contribue à l'atteinte des objectifs de mon ministère ou organisme.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational goals,Buts organisationnels,9
Q10,1,0,I know how my work contributes to the achievement of my department’s or agency’s goals.,Je sais de quelle façon mon travail contribue à l'atteinte des objectifs de mon ministère ou organisme.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational goals,Buts organisationnels,9
Q11,1,0,"Overall, I feel valued at work.","Dans l'ensemble, je me sens valorisé(e) au travail.",EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q12,1,0,I am proud of the work that I do.,Je suis fier (fière) du travail que je fais.,EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q13,1,0,I have opportunities to provide input into decisions that affect my work.,J'ai l'occasion de contribuer aux décisions qui touchent mon travail.,WORKFORCE,EFFECTIF,3,Empowerment,Habilitation,6
Q14,1,0,I am encouraged to be innovative or to take initiative in my work.,On m'encourage à innover ou à prendre des initiatives dans mon travail.,WORKFORCE,EFFECTIF,3,Empowerment,Habilitation,6
Q15,1,0,I have support at work to provide a high level of service.,"Au travail, j'obtiens du soutien pour fournir un service de haute qualité.",WORKFORCE,EFFECTIF,3,Empowerment,Habilitation,6
Q16,1,0,"Overall, I like my job.","Dans l'ensemble, j'aime mon emploi.",EMPLOYEE ENGAGEMENT,MOBILISATION DES EMPLOYÉS,1,Employee Engagement,Mobilisation des employés,1
Q17,2,0,I can complete my assigned workload during my regular working hours.,J'arrive à accomplir les tâches qui me sont assignées pendant mes heures normales de travail.,WORKFORCE,EFFECTIF,3,Work-life balance and workload,Équilibre travail-vie privée et charge de travail,7
Q18a,2,1,I feel that the quality of my work suffers because of... constantly changing priorities.,J'estime que la qualité de mon travail est minée parce que… les priorités changent constamment.,WORKPLACE,MILIEU DE TRAVAIL,4,Organizational performance,Rendement organisationnel,10
