"","SURVEYR","QID","QUESTION_EN","QUESTION_FR","THEME_EN","THEME_FR","ORGANIZATION_EN","ORGANIZATION_FR","ANSWER1","ANSWER2","ANSWER3","ANSWER4","ANSWER5","ANSWER6","ANSWER7","POSITIVE","NEUTRAL","NEGATIVE","COUNT"
"1","2019","Q07","I get a sense of satisfaction from my work.","Je tire de la satisfaction de mon travail.","Employee engagement","Mobilisation des employés","Public Service","Fonction publique",37,39,12,7,5,0,0,76,12,12,181595
"2","2019","Q07","I get a sense of satisfaction from my work.","Je tire de la satisfaction de mon travail.","Employee engagement","Mobilisation des employés","Health Canada","Santé Canada",39,39,11,7,4,0,0,78,11,11,5427
"3","2019","Q07","I get a sense of satisfaction from my work.","Je tire de la satisfaction de mon travail.","Employee engagement","Mobilisation des employés","ROEB","DGORAL",37,41,13,5,4,0,0,78,13,9,807
"4","2019","Q07","I get a sense of satisfaction from my work.","Je tire de la satisfaction de mon travail.","Employee engagement","Mobilisation des employés","POD","DPO",23,57,14,2,5,0,0,79,14,7,59
"5","2019","Q11","Overall, I feel valued at work.","Dans l'ensemble, je me sens valorisé(e) au travail.","Employee engagement","Mobilisation des employés","Public Service","Fonction publique",32,36,14,10,8,0,0,68,14,18,181182
"6","2019","Q11","Overall, I feel valued at work.","Dans l'ensemble, je me sens valorisé(e) au travail.","Employee engagement","Mobilisation des employés","Health Canada","Santé Canada",37,37,12,10,5,0,0,73,12,15,5416
"7","2019","Q11","Overall, I feel valued at work.","Dans l'ensemble, je me sens valorisé(e) au travail.","Employee engagement","Mobilisation des employés","ROEB","DGORAL",31,43,11,8,6,0,0,74,12,14,805
"8","2019","Q11","Overall, I feel valued at work.","Dans l'ensemble, je me sens valorisé(e) au travail.","Employee engagement","Mobilisation des employés","POD","DPO",33,43,9,7,8,0,0,76,9,15,57
"9","2019","Q12","I am proud of the work that I do.","Je suis fier (fière) du travail que je fais.","Employee engagement","Mobilisation des employés","Public Service","Fonction publique",52,33,10,3,2,0,0,85,10,5,180371
"10","2019","Q12","I am proud of the work that I do.","Je suis fier (fière) du travail que je fais.","Employee engagement","Mobilisation des employés","Health Canada","Santé Canada",53,32,9,3,2,0,0,86,9,5,5402
"11","2019","Q12","I am proud of the work that I do.","Je suis fier (fière) du travail que je fais.","Employee engagement","Mobilisation des employés","ROEB","DGORAL",48,37,11,3,1,0,0,85,11,4,805
"12","2019","Q12","I am proud of the work that I do.","Je suis fier (fière) du travail que je fais.","Employee engagement","Mobilisation des employés","POD","DPO",42,42,9,4,3,0,0,84,9,7,57
"13","2019","Q16","Overall, I like my job.","Dans l'ensemble, j'aime mon emploi.","Employee engagement","Mobilisation des employés","Public Service","Fonction publique",43,38,10,5,3,0,0,81,11,8,181588
"14","2019","Q16","Overall, I like my job.","Dans l'ensemble, j'aime mon emploi.","Employee engagement","Mobilisation des employés","Health Canada","Santé Canada",44,38,10,5,2,0,0,82,10,8,5434
"15","2019","Q16","Overall, I like my job.","Dans l'ensemble, j'aime mon emploi.","Employee engagement","Mobilisation des employés","ROEB","DGORAL",41,42,10,4,2,0,0,83,11,6,811
"16","2019","Q16","Overall, I like my job.","Dans l'ensemble, j'aime mon emploi.","Employee engagement","Mobilisation des employés","POD","DPO",34,51,8,5,2,0,0,85,8,7,60
"17","2019","Q51","I would recommend my department or agency as a great place to work.","Je recommanderais mon ministère ou organisme comme un excellent milieu de travail.","Employee engagement","Mobilisation des employés","Public Service","Fonction publique",39,31,15,8,6,1,0,70,15,15,181212
"18","2019","Q51","I would recommend my department or agency as a great place to work.","Je recommanderais mon ministère ou organisme comme un excellent milieu de travail.","Employee engagement","Mobilisation des employés","Health Canada","Santé Canada",42,33,15,6,4,1,0,75,15,10,5416
"19","2019","Q51","I would recommend my department or agency as a great place to work.","Je recommanderais mon ministère ou organisme comme un excellent milieu de travail.","Employee engagement","Mobilisation des employés","ROEB","DGORAL",42,35,12,6,4,0,0,77,13,10,804
"20","2019","Q51","I would recommend my department or agency as a great place to work.","Je recommanderais mon ministère ou organisme comme un excellent milieu de travail.","Employee engagement","Mobilisation des employés","POD","DPO",41,36,13,8,2,0,0,77,13,10,60
"21","2019","Q52","I am satisfied with my department or agency.","Je suis satisfait(e) de mon ministère ou organisme.","Employee engagement","Mobilisation des employés","Public Service","Fonction publique",37,34,14,9,6,0,0,71,14,15,180546
"22","2019","Q52","I am satisfied with my department or agency.","Je suis satisfait(e) de mon ministère ou organisme.","Employee engagement","Mobilisation des employés","Health Canada","Santé Canada",40,36,14,7,3,0,0,76,14,10,5381
"23","2019","Q52","I am satisfied with my department or agency.","Je suis satisfait(e) de mon ministère ou organisme.","Employee engagement","Mobilisation des employés","ROEB","DGORAL",39,38,14,5,4,0,0,77,15,8,805
"24","2019","Q52","I am satisfied with my department or agency.","Je suis satisfait(e) de mon ministère ou organisme.","Employee engagement","Mobilisation des employés","POD","DPO",45,36,11,7,2,0,0,80,12,8,60
